Track ID,Track Name,Point Central Name
19,1120 Upper Live Oak Rd (Weirich Farm),1120 Upper Live Oak Rd
49,209 W Mulberry St,209 Mulberry St.
174,(Onboarding) 808 Sunset St,808 N Sunset
103,1002 State. Hwy 361,1002 State Hwy 361
116,1009 Avenue D,1009 Ave D
117,102 N Olive Street,102 N Olive St.
42,102 Vic Lane,"102 Vic Lane Back House
102 Vic Lane Main House"
229,105 Madrona Ln - Das Familienhaus,105 Madrona Lane
182,106 East Nimitz,106 Nimitz
38,109 S Bowie St,109 S Bowie
77,110 E College St,110 E. College St.
169,1103 N Llano (Laundromat),no PC
124,112 E Travis St.,112 E Travis
158,112 West Mulberry St,112 W Mulberry
231,116 E Constellation Dr - Casa de Palmera,no PC
73,117 E Mars Ln #B,117 E Mars Ln #B
1,1210 Sleepy Hollow,no PC
81,1215 Lavaca,1215 Lavaca St
125,123 Ridgewood Dr,123 Ridgewood Dr.
133,128 E Venus Ln COMBO,no PC
3,1303 E Main St (Suite B),1303 E Main St Suite B
140,13214 Jolly Roger Dr,13214 Jolly Roger
242,1324 Old Martindale Rd. (Not Live),no PC
151,1335 Hilltop Oaks,1335 Hill Top Oaks's system
34,148 Starry Night (Combo),no PC
36,148 Starry Night (D'Vine Cottage),148 Starry Nite D Vine
230,148 Starry Night (Main House + Casita),148 Starry Nite main house
35,148 Starry Night (Nest Cottage),The Nest
28,148 Starry Night (Running Horse Cottage),148 Starry Nite Running Horse
105,1512 W Trailmoor Dr,1512 Trailmoor
4,157 Emil Eberle Rd.,157 Emil Eberle Ln
154,1700 Lime Kiln,1700 Lime Kiln
212,19007 Helmway Circle,19007 Helmway Circle
216,195 Ranch Road 1,195 Ranch Road 1
185,202 S Cherry St - Cherry Haus,202 S Cherry St.
198,205 NW Glenmoor Dr,205 Glenmoor
213,205 W Peach St - Das Sweet Peach,205 W Peach
215,207 W Ufer St - TxStar Haus,207 W Ufer St.
163,208 W Creek Street,208 W Creek
170,2107 Bayhouse Dr. - Always Fishing,2107 Bayshore Drive
5,215 W. College St.,215 W College
142,217 W. Driftwood,217 W Driftwood
191,229 Sunday Circle,229 Sunday Circle
148,236 Loring St - Unit 4 (Deactivated),no PC
67,243 Danz Lane,243 Danz
100,247 Sunday Circle,247 Sunday Circle
164,264 S College St,no PC
76,271 N 3rd St,271 N 3rd street
243,2865 Edgegrove(Not Live),no PC
129,300 Doris,"300 Doris Guest House
300 Doris Main House"
193,301 Chimayo - Casa Piedras,301 Chimayo
195,301 W Hackberry - Aisling's Oasis,301whackberry
162,303 S Columbus Street,303 S Columbus St.
122,306 E Hackberry Street,306 E Hackberry
205,309 E College St - Bungalow 309,309 E College
6,310 W Travis St. (Back House),310 W Travis St. Back House
7,310 W Travis St. (Main+Guest),"310 W Travis FH
310 w travis guest house"
8,310 W. Travis St. (Combo),no PC
221,313 Breezeway,no PC
186,315 Deer Rd - Little Ridge,315 Deer Road Cabin
239,315 Deer Rd - Ridge COMBO,no PC
178,315 Deer Rd - The Ridge,315 Deer Road Main
130,326 W Burbank St,326 W Burbank
52,332 W Morse St,332 morse
208,337 W Hackberry St - Hill Country Hackberry Retreat,337 W Hackberry
134,3499 W US Hwy 290 Rocking Ox Barn Cabin,no PC
112,3630 Reeh Rd - Fritzs Hill Country Hideaway,3630 Reeh Road
207,371 W Lincoln St B205,371 W Lincoln St Unit B205
71,371 W Lincoln St C111,371 w Lincoln st unit c111
21,371 W. Lincoln St C216,371 W Lincoln St Unit 216
78,3797 Grapecreek Rd,3797 grapecreek
102,403 N Cherry,403 N Cherry
211,403 N Summit Ridge,403 N Summit Ridge
79,403 N. Llano St,403 N Llano
41,403 W Austin (Combo),no PC
40,403 W Austin St The Homestead-Carriage House,403 W Austin back house
39,403 W Austin St The Homestead-Main House,403 W Austin
50,405 Candlelight Cove,405 Candlelight
157,408 Fort Velasco Drive,408 Velasco
9,409 W College St.,409 W College
69,410 E Schubert,410 E Schubert
132,411 E. Main St Combo,no PC
118,411 E. Main Street - Unit 1-Belles Place,411 e main cabin 1
120,411 E. Main Street - Unit 2-Amazing Grace,411 E Main cabin 2
121,411 E. Main Street - Unit 3-Honey's Hideaway,411 E Main cabin 3
119,411 E. Main Street - Unit 4- Santiago Casa,411 E Main cabin 4
55,413 W Travis St,413 W Travis
224,414 E Schubert - La Rouge,414A E Schubert
88,430 Glad Heart Trail - Henley,no PC
89,430 Glad Heart Trail - Janis,no PC
86,430 Glad Heart Trail - Lucinda,no PC
108,430 Glad Heart Trail - Selena,no PC
85,430 Glad Heart Trail - Sundance Studio,no PC
84,430 Glad Heart Trail - Vaughan House,no PC
190,430 Glad Heart Trail - Waylon,no PC
87,430 Glad Heart Trail - Willie,no PC
60,457 Granite Loop,457 granite loop
127,465 Bear Creek Rd,465 Bear Creek
214,465 Bear Creek Rd (Main + Barn),no PC
184,4788 FM 2093 COMBO,no PC
165,4788 FM 2093 Main House Humming Bird,4788 FM 2093 Hummingbird
